TIME,EVENT,DETAIL
2026.09.17 00:03:25,START,TF=M2 | PB=0.10R | SL=2R | own-Magic MAX1 | Magic=95012001 | Lots=0.01 | orders=ENABLED
2026.09.17 00:03:25,NOTE,FINAL parity build: setup pricing/order mirrors MULTI_TF validator; own-Magic MAX1; live 0.01 TP1 uses whole-position +0.25R lock
2026.09.17 01:02:00,SIGNAL,BEAR R=2.90 ext=4257.52
2026.09.17 01:16:00,SIGNAL,BEAR R=2.58 ext=4256.14
2026.09.17 01:34:00,SIGNAL,BULL R=4.88 ext=4273.20
2026.09.17 01:36:26,EXT_HIT,2026.09.17 01:32:00 extreme=4273.20
2026.09.17 01:36:32,PB_CONFIRM,2026.09.17 01:32:00 R=4.88
2026.09.17 01:36:32,ORDER_SENT_NO_POSITION,retcode=10009
2026.09.17 01:49:24,TP1_LOCK,TP1 reached; 0.01 lot cannot partial-close 30%, whole SL moved to 4272.09
2026.09.17 03:02:00,SIGNAL,BEAR R=4.97 ext=4262.13
2026.09.17 03:12:00,SIGNAL,BULL R=7.43 ext=4292.41
2026.09.17 03:22:00,SIGNAL,BULL R=4.48 ext=4293.32
2026.09.17 04:00:58,EXT_HIT,2026.09.17 03:10:00 extreme=4292.44
2026.09.17 04:00:59,PB_CONFIRM,2026.09.17 03:10:00 R=7.43
2026.09.17 04:00:59,ORDER_SENT_NO_POSITION,retcode=10009
2026.09.17 04:01:52,EXT_HIT,2026.09.17 03:20:00 extreme=4294.10
2026.09.17 04:01:53,PB_CONFIRM,2026.09.17 03:20:00 R=4.48
2026.09.17 04:01:53,ENTRY_SKIPPED,LIVE005 own-Magic position already exists
2026.09.17 04:02:00,SIGNAL,BULL R=14.80 ext=4308.90
2026.09.17 04:07:43,EXT_HIT,2026.09.17 04:00:00 extreme=4309.06
2026.09.17 04:07:59,PB_CONFIRM,2026.09.17 04:00:00 R=14.80
2026.09.17 04:07:59,ORDER_SENT_NO_POSITION,retcode=10009
2026.09.17 04:10:25,TP1_LOCK,TP1 reached; 0.01 lot cannot partial-close 30%, whole SL moved to 4304.64
2026.09.17 05:08:00,SIGNAL,BEAR R=5.92 ext=4284.13
2026.09.17 05:12:19,EXT_HIT,2026.09.17 05:06:00 extreme=4284.00
2026.09.17 05:12:22,PB_CONFIRM,2026.09.17 05:06:00 R=5.92
2026.09.17 05:12:22,ORDER_SENT_NO_POSITION,retcode=10009
2026.09.17 05:15:13,TP1_LOCK,TP1 reached; 0.01 lot cannot partial-close 30%, whole SL moved to 4286.28
2026.09.17 06:32:00,SIGNAL,BULL R=4.93 ext=4295.46
2026.09.17 06:40:00,SIGNAL,BULL R=1.14 ext=4293.61
2026.09.17 06:42:01,EXT_HIT,2026.09.17 06:38:00 extreme=4293.68
2026.09.17 06:42:04,PB_CONFIRM,2026.09.17 06:38:00 R=1.14
2026.09.17 06:42:04,ORDER_SENT_NO_POSITION,retcode=10009
