strategy,entry_time,entry_price,exit_time,exit_price,dir,volume,r_realized,gross_pnl,commission,net_pnl,reason,entry_path,entry_dt,exit_dt,hold_hours
007_symfastconfirm,1735803668,2636.3,1735803869,2635.36,-1,0.01,1.0000000000004838,0.9400000000000545,0.15,0.7900000000000544,PARTIAL_TP,mechanical,2025-01-02 07:41:08+00:00,2025-01-02 07:44:29+00:00,0.05583333333333333
007_symfastconfirm,1735803668,2636.3,1735803928,2634.6240000000003,-1,0.01,1.7829787234049408,1.675999999999931,0.15,1.5259999999999312,TP,mechanical,2025-01-02 07:41:08+00:00,2025-01-02 07:45:28+00:00,0.07222222222222222
007_symfastconfirm,1735804200,2635.07,1735804393,2634.6240000000003,-1,0.02,0.4744680851064921,0.8919999999998254,0.3,0.5919999999998253,TP,fast,2025-01-02 07:50:00+00:00,2025-01-02 07:53:13+00:00,0.05361111111111111
007_symfastconfirm,1735815705,2638.65,1735816420,2638.0950000000003,-1,0.02,0.2499999999999488,1.1099999999996726,0.3,0.8099999999996725,LOCK,mechanical,2025-01-02 11:01:45+00:00,2025-01-02 11:13:40+00:00,0.1986111111111111
007_symfastconfirm,1735831800,2639.45,1735832936,2641.4739999999997,1,0.02,0.4438596491227876,4.0479999999997744,0.3,3.7479999999997746,TP,fast,2025-01-02 15:30:00+00:00,2025-01-02 15:48:56+00:00,0.31555555555555553
007_symfastconfirm,1735833641,2644.88,1735833644,2644.46,-1,0.01,1.0000000000010827,0.42000000000007276,0.15,0.27000000000007274,PARTIAL_TP,mechanical,2025-01-02 16:00:41+00:00,2025-01-02 16:00:44+00:00,0.0008333333333333334
007_symfastconfirm,1735833641,2644.88,1735833693,2642.552,-1,0.01,5.542857142862124,2.3279999999999745,0.15,2.1779999999999746,TP,mechanical,2025-01-02 16:00:41+00:00,2025-01-02 16:01:33+00:00,0.014444444444444444
007_symfastconfirm,1735834200,2641.61,1735834200,2642.552,-1,0.02,-2.2428571428592,-1.8840000000000146,0.3,-2.1840000000000144,TP,fast,2025-01-02 16:10:00+00:00,2025-01-02 16:10:00+00:00,0.0
007_symfastconfirm,1735835400,2646.96,1735842185,2657.54,-1,0.02,-2.0,-21.159999999999854,0.3,-21.459999999999855,SL,fast,2025-01-02 16:30:00+00:00,2025-01-02 18:23:05+00:00,1.8847222222222222
007_symfastconfirm,1735857600,2658.9,1735860266,2657.912,-1,0.02,0.46603773584911445,1.9760000000005675,0.3,1.6760000000005675,TP,fast,2025-01-02 22:40:00+00:00,2025-01-02 23:24:26+00:00,0.7405555555555555
007_symfastconfirm,1735873243,2662.28,1735873359,2660.16,-1,0.01,1.0,2.1200000000003456,0.15,1.9700000000003457,PARTIAL_TP,mechanical,2025-01-03 03:00:43+00:00,2025-01-03 03:02:39+00:00,0.03222222222222222
007_symfastconfirm,1735873243,2662.28,1735875515,2657.912,-1,0.01,2.0603773584904155,4.368000000000393,0.15,4.2180000000003925,TP,mechanical,2025-01-03 03:00:43+00:00,2025-01-03 03:38:35+00:00,0.6311111111111111
007_symfastconfirm,1735877503,2658.29,1735877525,2658.75,1,0.01,1.0222222222216832,0.46000000000003644,0.15,0.31000000000003647,PARTIAL_TP,mechanical,2025-01-03 04:11:43+00:00,2025-01-03 04:12:05+00:00,0.006111111111111111
007_symfastconfirm,1735877503,2658.29,1735877719,2659.465,1,0.01,2.611111111109932,1.175000000000182,0.15,1.025000000000182,TP,mechanical,2025-01-03 04:11:43+00:00,2025-01-03 04:15:19+00:00,0.06
007_symfastconfirm,1735877922,2663.15,1735878039,2662.545,-1,0.02,0.25,1.2100000000000364,0.3,0.9100000000000363,LOCK,mechanical,2025-01-03 04:18:42+00:00,2025-01-03 04:20:39+00:00,0.0325
007_symfastconfirm,1735878600,2659.4,1735878640,2659.319,-1,0.02,0.03389121338917794,0.16200000000026193,0.3,-0.13799999999973805,TP,fast,2025-01-03 04:30:00+00:00,2025-01-03 04:30:40+00:00,0.011111111111111112
007_symfastconfirm,1735880924,2664.41,1735881220,2663.8125,-1,0.02,0.24999999999995243,1.194999999999709,0.3,0.8949999999997089,LOCK,mechanical,2025-01-03 05:08:44+00:00,2025-01-03 05:13:40+00:00,0.08222222222222222
007_symfastconfirm,1735917042,2654.92,1735917051,2654.94,1,0.02,0.25,0.03999999999996362,0.3,-0.26000000000003637,LOCK,mechanical,2025-01-03 15:10:42+00:00,2025-01-03 15:10:51+00:00,0.0025
007_symfastconfirm,1735917857,2648.36,1735917991,2649.1475,1,0.02,0.24999999999996392,1.574999999999818,0.3,1.274999999999818,LOCK,mechanical,2025-01-03 15:24:17+00:00,2025-01-03 15:26:31+00:00,0.03722222222222222
